Y_0,Y_1
4.782199999999999562e+01,8.090700000000000003e+00
4.319399999999999551e+01,7.762500000000000178e+00
3.938599999999999568e+01,7.289699999999999847e+00
3.647899999999999920e+01,6.410800000000000054e+00
3.477400000000000091e+01,5.792900000000000382e+00
3.149699999999999989e+01,5.483900000000000219e+00
3.024500000000000099e+01,5.097699999999999676e+00
2.656800000000000139e+01,4.643900000000000361e+00
2.385000000000000142e+01,4.054999999999999716e+00
2.051199999999999690e+01,3.379199999999999982e+00
1.796300000000000097e+01,2.993000000000000327e+00
1.630000000000000071e+01,2.095299999999999940e+00
1.408699999999999974e+01,1.744799999999999685e+00
1.196499999999999986e+01,1.235800000000000232e+00
1.068100000000000094e+01,1.062000000000000277e+00
7.828700000000001324e+00,1.004100000000000215e+00
7.343199999999999505e+00,8.496199999999998198e-01
6.774300000000000210e+00,5.020100000000002893e-01
7.039699999999999847e+00,5.599799999999999223e-01
7.585899999999998755e+00,5.599799999999999223e-01
7.645599999999998175e+00,9.157500000000000639e-01
7.646599999999999397e+00,1.351700000000000124e+00
8.342299999999998050e+00,1.389999999999999680e+00
1.037800000000000011e+01,1.544799999999999951e+00
1.074200000000000088e+01,1.660600000000000076e+00
1.258500000000000263e+01,2.011499999999999844e+00
1.389700000000000024e+01,2.259199999999999875e+00
1.556099999999999994e+01,2.455899999999999750e+00
1.717500000000000071e+01,2.664699999999999847e+00
1.909799999999999898e+01,2.741999999999999993e+00
1.983299999999999841e+01,3.067299999999999915e+00
2.130099999999999838e+01,3.301899999999999835e+00
2.067199999999999704e+01,3.073599999999999888e+00
2.063400000000000034e+01,3.012300000000000200e+00
2.215099999999999980e+01,3.128200000000000092e+00
2.397199999999999775e+01,3.572299999999999809e+00
2.744000000000000128e+01,4.077700000000000102e+00
3.162699999999999889e+01,4.772599999999999731e+00
3.641199999999999903e+01,5.522599999999999731e+00
4.405899999999999750e+01,6.410800000000000054e+00
4.824699999999999989e+01,7.530800000000000161e+00
5.474000000000000199e+01,8.496199999999999974e+00
5.946600000000000108e+01,9.429800000000000182e+00
6.323600000000000421e+01,9.963800000000000878e+00
6.444899999999999807e+01,9.907199999999999562e+00
6.487500000000000000e+01,9.789999999999999147e+00
6.409199999999999875e+01,9.577600000000000335e+00
6.157699999999999818e+01,9.382899999999999352e+00
5.856300000000000239e+01,9.268599999999999284e+00
5.492199999999999704e+01,9.326599999999999113e+00
4.952100000000000080e+01,9.056200000000000472e+00
4.466600000000000392e+01,8.921099999999999142e+00
4.041599999999999682e+01,8.205700000000000216e+00
3.723799999999999955e+01,7.356999999999999318e+00
3.495599999999999596e+01,6.372200000000000308e+00
3.070800000000000196e+01,5.445299999999999585e+00
2.828800000000000026e+01,4.808099999999999596e+00
2.431300000000000239e+01,3.791599999999999859e+00
