x,y
1851.27246301,1.0
1851.40944932,0.0
1851.54643562,0.0
1851.68342192,1.0
1851.82040822,0.0
1851.95739452,2.0
1852.09438082,0.0
1852.23136712,0.0
1852.36835342,4.0
1852.50533973,0.0
1852.64232603,0.0
1852.77931233,0.0
1852.91629863,1.0
1853.05328493,0.0
1853.19027123,2.0
1853.32725753,1.0
1853.46424384,1.0
1853.60123014,0.0
1853.73821644,0.0
1853.87520274,0.0
1854.01218904,0.0
1854.14917534,1.0
1854.28616164,0.0
1854.42314795,0.0
1854.56013425,0.0
1854.69712055,0.0
1854.83410685,0.0
1854.97109315,0.0
1855.10807945,0.0
1855.24506575,0.0
1855.38205205,0.0
1855.51903836,0.0
1855.65602466,0.0
1855.79301096,0.0
1855.92999726,0.0
1856.06698356,0.0
1856.20396986,0.0
1856.34095616,1.0
1856.47794247,2.0
1856.61492877,1.0
1856.75191507,0.0
1856.88890137,0.0
1857.02588767,0.0
1857.16287397,1.0
1857.29986027,0.0
1857.43684658,1.0
1857.57383288,1.0
1857.71081918,0.0
1857.84780548,0.0
1857.98479178,0.0
1858.12177808,2.0
1858.25876438,0.0
1858.39575068,1.0
1858.53273699,0.0
1858.66972329,0.0
1858.80670959,0.0
1858.94369589,1.0
1859.08068219,0.0
1859.21766849,0.0
1859.35465479,0.0
1859.4916411,0.0
1859.6286274,0.0
1859.7656137,0.0
1859.9026,0.0
1860.0395863,0.0
1860.1765726,2.0
1860.3135589,0.0
1860.45054521,0.0
1860.58753151,1.0
1860.72451781,0.0
1860.86150411,2.0
1860.99849041,1.0
1861.13547671,1.0
1861.27246301,0.0
1861.40944932,0.0
1861.54643562,0.0
1861.68342192,1.0
1861.82040822,1.0
1861.95739452,0.0
1862.09438082,1.0
1862.23136712,0.0
1862.36835342,0.0
1862.50533973,0.0
1862.64232603,0.0
1862.77931233,0.0
1862.91629863,2.0
1863.05328493,0.0
1863.19027123,1.0
1863.32725753,0.0
1863.46424384,0.0
1863.60123014,0.0
1863.73821644,1.0
1863.87520274,0.0
1864.01218904,2.0
1864.14917534,0.0
1864.28616164,0.0
1864.42314795,0.0
1864.56013425,0.0
1864.69712055,0.0
1864.83410685,0.0
1864.97109315,0.0
1865.10807945,0.0
1865.24506575,0.0
1865.38205205,0.0
1865.51903836,1.0
1865.65602466,0.0
1865.79301096,0.0
1865.92999726,1.0
1866.06698356,1.0
1866.20396986,0.0
1866.34095616,1.0
1866.47794247,1.0
1866.61492877,0.0
1866.75191507,0.0
1866.88890137,1.0
1867.02588767,2.0
1867.16287397,0.0
1867.29986027,0.0
1867.43684658,0.0
1867.57383288,0.0
1867.71081918,1.0
1867.84780548,2.0
1867.98479178,0.0
1868.12177808,0.0
1868.25876438,0.0
1868.39575068,0.0
1868.53273699,0.0
1868.66972329,0.0
1868.80670959,1.0
1868.94369589,2.0
1869.08068219,0.0
1869.21766849,1.0
1869.35465479,0.0
1869.4916411,1.0
1869.6286274,1.0
1869.7656137,1.0
1869.9026,1.0
1870.0395863,0.0
1870.1765726,1.0
1870.3135589,0.0
1870.45054521,0.0
1870.58753151,3.0
1870.72451781,0.0
1870.86150411,0.0
1870.99849041,1.0
1871.13547671,2.0
1871.27246301,0.0
1871.40944932,0.0
1871.54643562,0.0
1871.68342192,0.0
1871.82040822,2.0
1871.95739452,0.0
1872.09438082,1.0
1872.23136712,1.0
1872.36835342,0.0
1872.50533973,0.0
1872.64232603,0.0
1872.77931233,1.0
1872.91629863,0.0
1873.05328493,0.0
1873.19027123,1.0
1873.32725753,0.0
1873.46424384,0.0
1873.60123014,0.0
1873.73821644,0.0
1873.87520274,0.0
1874.01218904,0.0
1874.14917534,0.0
1874.28616164,1.0
1874.42314795,0.0
1874.56013425,1.0
1874.69712055,0.0
1874.83410685,0.0
1874.97109315,2.0
1875.10807945,0.0
1875.24506575,0.0
1875.38205205,1.0
1875.51903836,0.0
1875.65602466,0.0
1875.79301096,0.0
1875.92999726,3.0
1876.06698356,0.0
1876.20396986,0.0
1876.34095616,0.0
1876.47794247,0.0
1876.61492877,0.0
1876.75191507,0.0
1876.88890137,0.0
1877.02588767,2.0
1877.16287397,2.0
1877.29986027,0.0
1877.43684658,0.0
1877.57383288,0.0
1877.71081918,0.0
1877.84780548,2.0
1877.98479178,0.0
1878.12177808,0.0
1878.25876438,3.0
1878.39575068,1.0
1878.53273699,0.0
1878.67109315,1.0
1878.80807945,0.0
1878.94506575,0.0
1879.08205205,1.0
1879.21903836,1.0
1879.35602466,0.0
1879.49301096,1.0
1879.62999726,0.0
1879.76698356,0.0
1879.90396986,0.0
1880.04095616,1.0
1880.17794247,0.0
1880.31492877,0.0
1880.45191507,0.0
1880.58890137,1.0
1880.72588767,1.0
1880.86287397,0.0
1880.99986027,1.0
1881.13684658,1.0
1881.27383288,0.0
1881.41081918,0.0
1881.54780548,0.0
1881.68479178,0.0
1881.82177808,0.0
1881.95876438,1.0
1882.09575068,1.0
1882.23273699,0.0
1882.36972329,3.0
1882.50670959,0.0
1882.64369589,0.0
1882.78068219,0.0
1882.91766849,1.0
1883.05465479,0.0
1883.1916411,0.0
1883.3286274,0.0
1883.4656137,0.0
1883.6026,0.0
1883.7395863,0.0
1883.8765726,2.0
1884.0135589,0.0
1884.15054521,1.0
1884.28753151,0.0
1884.42451781,0.0
1884.56150411,0.0
1884.69849041,0.0
1884.83547671,1.0
1884.97246301,0.0
1885.10944932,0.0
1885.24643562,1.0
1885.38342192,0.0
1885.52040822,1.0
1885.65739452,0.0
1885.79438082,0.0
1885.93136712,0.0
1886.06835342,1.0
1886.20533973,0.0
1886.34232603,0.0
1886.47931233,0.0
1886.61629863,1.0
1886.75328493,2.0
1886.89027123,1.0
1887.02725753,0.0
1887.16424384,1.0
1887.30123014,0.0
1887.43821644,1.0
1887.57520274,0.0
1887.71218904,0.0
1887.84917534,0.0
1887.98616164,0.0
1888.12314795,0.0
1888.26013425,1.0
1888.39712055,0.0
1888.53410685,0.0
1888.67109315,0.0
1888.80807945,0.0
1888.94506575,0.0
1889.08205205,1.0
1889.21903836,1.0
1889.35602466,0.0
1889.49301096,0.0
1889.62999726,0.0
1889.76698356,1.0
1889.90396986,0.0
1890.04095616,0.0
1890.17794247,2.0
1890.31492877,0.0
1890.45191507,0.0
1890.58890137,0.0
1890.72588767,0.0
1890.86287397,0.0
1890.99986027,0.0
1891.13684658,0.0
1891.27383288,1.0
1891.41081918,0.0
1891.54780548,0.0
1891.68479178,1.0
1891.82177808,0.0
1891.95876438,0.0
1892.09575068,0.0
1892.23273699,0.0
1892.36972329,0.0
1892.50670959,0.0
1892.64369589,1.0
1892.78068219,0.0
1892.91766849,0.0
1893.05465479,0.0
1893.1916411,0.0
1893.3286274,0.0
1893.4656137,0.0
1893.6026,1.0
1893.7395863,0.0
1893.8765726,0.0
1894.0135589,0.0
1894.15054521,0.0
1894.28753151,0.0
1894.42451781,0.0
1894.56150411,1.0
1894.69849041,0.0
1894.83547671,0.0
1894.97246301,0.0
1895.10944932,0.0
1895.24643562,0.0
1895.38342192,1.0
1895.52040822,0.0
1895.65739452,0.0
1895.79438082,0.0
1895.93136712,0.0
1896.06835342,1.0
1896.20533973,0.0
1896.34232603,2.0
1896.47931233,0.0
1896.61629863,0.0
1896.75328493,0.0
1896.89027123,0.0
1897.02725753,0.0
1897.16424384,0.0
1897.30123014,0.0
1897.43821644,0.0
1897.57520274,0.0
1897.71218904,0.0
1897.84917534,0.0
1897.98616164,0.0
1898.12314795,0.0
1898.26013425,0.0
1898.39712055,0.0
1898.53410685,0.0
1898.67109315,0.0
1898.80807945,0.0
1898.94506575,0.0
1899.08205205,0.0
1899.21903836,0.0
1899.35602466,0.0
1899.49301096,0.0
1899.62999726,1.0
1899.76698356,0.0
1899.90396986,0.0
1900.04095616,0.0
1900.17794247,0.0
1900.31492877,0.0
1900.45191507,0.0
1900.58890137,0.0
1900.72588767,0.0
1900.86287397,0.0
1900.99986027,0.0
1901.13684658,0.0
1901.27383288,0.0
1901.41081918,1.0
1901.54780548,0.0
1901.68479178,0.0
1901.82177808,0.0
1901.95876438,0.0
1902.09575068,0.0
1902.23273699,0.0
1902.36972329,0.0
1902.50670959,0.0
1902.64369589,1.0
1902.78068219,0.0
1902.91766849,0.0
1903.05465479,0.0
1903.1916411,0.0
1903.3286274,0.0
1903.4656137,0.0
1903.6026,0.0
1903.7395863,0.0
1903.8765726,0.0
1904.0135589,0.0
1904.15054521,0.0
1904.28753151,0.0
1904.42451781,0.0
1904.56150411,0.0
1904.69849041,0.0
1904.83547671,0.0
1904.97246301,0.0
1905.10944932,1.0
1905.24643562,1.0
1905.38342192,0.0
1905.52040822,1.0
1905.65739452,0.0
1905.79438082,0.0
1905.93136712,0.0
1906.06835342,0.0
1906.20533973,0.0
1906.34232603,0.0
1906.47931233,0.0
1906.61629863,0.0
1906.75328493,1.0
1906.89027123,0.0
1907.02725753,0.0
1907.16424384,0.0
1907.30123014,0.0
1907.43821644,0.0
1907.57520274,0.0
1907.71218904,0.0
1907.84917534,0.0
1907.98616164,0.0
1908.12314795,1.0
1908.26013425,1.0
1908.39712055,0.0
1908.53410685,0.0
1908.67109315,1.0
1908.80807945,0.0
1908.94506575,0.0
1909.08205205,0.0
1909.21903836,1.0
1909.35602466,0.0
1909.49301096,0.0
1909.62999726,0.0
1909.76698356,0.0
1909.90396986,1.0
1910.04095616,0.0
1910.17794247,0.0
1910.31492877,0.0
1910.45191507,1.0
1910.58890137,0.0
1910.72588767,0.0
1910.86287397,0.0
1910.99986027,1.0
1911.13684658,0.0
1911.27383288,0.0
1911.41081918,0.0
1911.54780548,0.0
1911.68479178,0.0
1911.82177808,0.0
1911.95876438,0.0
1912.09575068,0.0
1912.23273699,0.0
1912.36972329,0.0
1912.50670959,1.0
1912.64369589,0.0
1912.78068219,0.0
1912.91766849,0.0
1913.05465479,0.0
1913.1916411,0.0
1913.3286274,0.0
1913.4656137,0.0
1913.6026,0.0
1913.7395863,0.0
1913.8765726,1.0
1914.0135589,0.0
1914.15054521,0.0
1914.28753151,0.0
1914.42451781,1.0
1914.56150411,0.0
1914.69849041,0.0
1914.83547671,0.0
1914.97246301,0.0
1915.10944932,0.0
1915.24643562,0.0
1915.38342192,0.0
1915.52040822,0.0
1915.65739452,0.0
1915.79438082,0.0
1915.93136712,0.0
1916.06835342,0.0
1916.20533973,0.0
1916.34232603,0.0
1916.47931233,0.0
1916.61629863,1.0
1916.75328493,0.0
1916.89027123,0.0
1917.02725753,0.0
1917.16424384,0.0
1917.30123014,0.0
1917.43821644,0.0
1917.57520274,0.0
1917.71218904,0.0
1917.84917534,0.0
1917.98616164,0.0
1918.12314795,1.0
1918.26013425,0.0
1918.39712055,0.0
1918.53410685,0.0
1918.67109315,0.0
1918.80807945,0.0
1918.94506575,0.0
1919.08205205,0.0
1919.21903836,0.0
1919.35602466,0.0
1919.49301096,0.0
1919.62999726,0.0
1919.76698356,0.0
1919.90396986,0.0
1920.04095616,0.0
1920.17794247,0.0
1920.31492877,0.0
1920.45191507,0.0
1920.58890137,0.0
1920.72588767,0.0
1920.86287397,0.0
1920.99986027,0.0
1921.13684658,0.0
1921.27383288,0.0
1921.41081918,0.0
1921.54780548,0.0
1921.68479178,0.0
1921.82177808,0.0
1921.95876438,0.0
1922.09575068,0.0
1922.23273699,0.0
1922.36972329,0.0
1922.50670959,0.0
1922.64369589,1.0
1922.78068219,1.0
1922.91766849,0.0
1923.05465479,0.0
1923.1916411,0.0
1923.3286274,0.0
1923.4656137,0.0
1923.6026,1.0
1923.7395863,0.0
1923.8765726,0.0
1924.0135589,0.0
1924.15054521,0.0
1924.28753151,0.0
1924.42451781,0.0
1924.56150411,0.0
1924.69849041,0.0
1924.83547671,0.0
1924.97246301,0.0
1925.10944932,0.0
1925.24643562,0.0
1925.38342192,0.0
1925.52040822,0.0
1925.65739452,0.0
1925.79438082,0.0
1925.93136712,0.0
1926.06835342,0.0
1926.20533973,0.0
1926.34232603,0.0
1926.47931233,0.0
1926.61629863,0.0
1926.75328493,0.0
1926.89027123,0.0
1927.02725753,0.0
1927.16424384,1.0
1927.30123014,0.0
1927.43821644,0.0
1927.57520274,0.0
1927.71218904,0.0
1927.84917534,0.0
1927.98616164,0.0
1928.12314795,1.0
1928.26013425,0.0
1928.39712055,0.0
1928.53410685,0.0
1928.67109315,0.0
1928.80807945,0.0
1928.94506575,0.0
1929.08205205,0.0
1929.21903836,0.0
1929.35602466,0.0
1929.49301096,0.0
1929.62999726,0.0
1929.76698356,0.0
1929.90396986,0.0
1930.04095616,0.0
1930.17794247,1.0
1930.31492877,0.0
1930.45191507,0.0
1930.58890137,0.0
1930.72588767,0.0
1930.86287397,1.0
1930.99986027,0.0
1931.13684658,1.0
1931.27383288,0.0
1931.41081918,0.0
1931.54780548,0.0
1931.68479178,0.0
1931.82177808,1.0
1931.95876438,1.0
1932.09575068,1.0
1932.23273699,0.0
1932.36972329,0.0
1932.50670959,0.0
1932.64369589,0.0
1932.78068219,0.0
1932.91766849,2.0
1933.05465479,0.0
1933.1916411,0.0
1933.3286274,0.0
1933.4656137,0.0
1933.6026,0.0
1933.7395863,0.0
1933.8765726,1.0
1934.0135589,0.0
1934.15054521,0.0
1934.28753151,0.0
1934.42451781,0.0
1934.56150411,0.0
1934.69849041,0.0
1934.83547671,1.0
1934.97246301,0.0
1935.10944932,0.0
1935.24643562,0.0
1935.38342192,0.0
1935.52040822,0.0
1935.65739452,1.0
1935.79438082,1.0
1935.93136712,0.0
1936.06835342,0.0
1936.20533973,0.0
1936.34232603,0.0
1936.47931233,0.0
1936.61629863,1.0
1936.75328493,0.0
1936.89027123,0.0
1937.02725753,0.0
1937.16424384,0.0
1937.30123014,0.0
1937.43821644,0.0
1937.57520274,1.0
1937.71218904,0.0
1937.84917534,0.0
1937.98616164,0.0
1938.12314795,0.0
1938.26013425,0.0
1938.39712055,1.0
1938.53410685,0.0
1938.67109315,0.0
1938.80807945,0.0
1938.94506575,0.0
1939.08205205,0.0
1939.21903836,0.0
1939.35602466,0.0
1939.49301096,0.0
1939.62999726,0.0
1939.76698356,0.0
1939.90396986,1.0
1940.04095616,0.0
1940.17794247,0.0
1940.31492877,1.0
1940.45191507,1.0
1940.58890137,0.0
1940.72588767,0.0
1940.86287397,0.0
1940.99986027,0.0
1941.13684658,0.0
1941.27383288,0.0
1941.41081918,0.0
1941.54780548,2.0
1941.68479178,1.0
1941.82177808,0.0
1941.95876438,0.0
1942.09575068,1.0
1942.23273699,1.0
1942.36972329,0.0
1942.50670959,1.0
1942.64369589,0.0
1942.78068219,0.0
1942.91766849,0.0
1943.05465479,0.0
1943.1916411,0.0
1943.3286274,0.0
1943.4656137,0.0
1943.6026,0.0
1943.7395863,0.0
1943.8765726,0.0
1944.0135589,0.0
1944.15054521,0.0
1944.28753151,0.0
1944.42451781,0.0
1944.56150411,0.0
1944.69849041,0.0
1944.83547671,0.0
1944.97246301,0.0
1945.10944932,0.0
1945.24643562,0.0
1945.38342192,0.0
1945.52040822,0.0
1945.65739452,0.0
1945.79438082,0.0
1945.93136712,0.0
1946.06835342,0.0
1946.20533973,0.0
1946.34232603,0.0
1946.47931233,0.0
1946.61629863,0.0
1946.75328493,0.0
1946.89027123,0.0
1947.02725753,2.0
1947.16424384,0.0
1947.30123014,0.0
1947.43821644,0.0
1947.57520274,0.0
1947.71218904,3.0
1947.84917534,0.0
1947.98616164,0.0
1948.12314795,0.0
1948.26013425,0.0
1948.39712055,0.0
1948.53410685,0.0
1948.67109315,0.0
1948.80807945,0.0
1948.94506575,0.0
1949.08205205,0.0
1949.21903836,0.0
1949.35602466,0.0
1949.49301096,0.0
1949.62999726,0.0
1949.76698356,0.0
1949.90396986,0.0
1950.04095616,0.0
1950.17794247,0.0
1950.31492877,0.0
1950.45191507,0.0
1950.58890137,0.0
1950.72588767,0.0
1950.86287397,0.0
1950.99986027,0.0
1951.13684658,0.0
1951.27383288,0.0
1951.41081918,1.0
1951.54780548,0.0
1951.68479178,0.0
1951.82177808,0.0
1951.95876438,0.0
1952.09575068,0.0
1952.23273699,0.0
1952.36972329,0.0
1952.50670959,0.0
1952.64369589,0.0
1952.78068219,0.0
1952.91766849,0.0
1953.05465479,0.0
1953.1916411,0.0
1953.3286274,0.0
1953.4656137,0.0
1953.6026,0.0
1953.7395863,0.0
1953.8765726,0.0
1954.0135589,0.0
1954.15054521,0.0
1954.28753151,0.0
1954.42451781,0.0
1954.56150411,0.0
1954.69849041,0.0
1954.83547671,0.0
1954.97246301,0.0
1955.10944932,0.0
1955.24643562,0.0
1955.38342192,0.0
1955.52040822,0.0
1955.65739452,0.0
1955.79438082,0.0
1955.93136712,0.0
1956.06835342,0.0
1956.20533973,0.0
1956.34232603,0.0
1956.47931233,0.0
1956.61629863,0.0
1956.75328493,0.0
1956.89027123,0.0
1957.02725753,0.0
1957.16424384,0.0
1957.30123014,0.0
1957.43821644,0.0
1957.57520274,0.0
1957.71218904,0.0
1957.84917534,0.0
1957.98616164,1.0
1958.12314795,0.0
1958.26013425,0.0
1958.39712055,0.0
1958.53410685,0.0
1958.67109315,0.0
1958.80807945,0.0
1958.94506575,0.0
1959.08205205,0.0
1959.21903836,0.0
1959.35602466,0.0
1959.49301096,0.0
1959.62999726,0.0
1959.76698356,0.0
1959.90396986,0.0
1960.04095616,0.0
1960.17794247,0.0
1960.31492877,0.0
1960.45191507,0.0
1960.58890137,1.0
1960.72588767,0.0
1960.86287397,0.0
1960.99986027,0.0
1961.13684658,0.0
1961.27383288,0.0
1961.41081918,0.0
1961.54780548,0.0
1961.68479178,0.0
1961.82177808,0.0
1961.95876438,0.0
1962.09575068,0.0
1962.23273699,1.0
